ASDM_UID FOV FREQUENCY_RESOLUTION
uid://A002/X383b50/X69 23.7087914128008 976.5625
uid://A002/X40d164/X334 28.443134555327145 31250.0
uid://A002/X4122f3/X133 21.099873437603957 976.5625
uid://A002/X3e007f/X9c2 26.80851063829787 31250.0
uid://A002/X4b71b4/X25a 18.060670824486323 976.5625
uid://A002/X45e2af/X2b1 18.05717456079165 976.5625
uid://A002/X412638/X12d 21.099873437603957 976.5625
uid://A002/X44a295/X5b8 27.109151144276847 976.5625
uid://A002/X44ddb2/X3df 27.10921009882222 976.5625
uid://A002/X3ca066/Xa6f 25.008503883721417 976.5625
uid://A002/X433c46/X4d2 27.20882814433752 976.5625
uid://A002/X40e374/Xec9 9.304839878070133 31250.0
uid://A002/X321719/X826 60.994796078935494 976.5625
uid://A002/X41d520/X18c 28.506787330326418 31250.0
uid://A002/X321719/X929 68.45035990768352 976.5625
uid://A002/X496160/X60 18.743803457567335 244.140625
uid://A002/X369097/X316 60.994796078935494 976.5625
uid://A002/X49b5dd/X39d 24.89076733447901 122.0703125
uid://A002/X554543/X667 17.246726786839943 122.0703125
uid://A002/X49b5dd/Xfd 18.43190908274003 31250.0
uid://A002/X47b743/X130 67.62663207621738 976.5625
uid://A002/X552607/X24d 67.70542551512936 976.5625
uid://A002/X496160/X410 24.89076733447901 122.0703125
uid://A002/X3dc0e7/X7ae 18.085555269392312 976.5625
uid://A002/X3b3400/X395 58.724284822102696 976.5625
uid://A002/X590461/X1853 26.301447274709787 976.5625
uid://A002/X4ae797/X247 18.490709910299838 976.5625
uid://A002/X3fbe56/X350 66.52247568095568 976.5625
uid://A002/X41e287/X2f0 8.969220275528423 976.5625
uid://A002/X537777/X326 24.32182781547307 122.0703125
uid://A002/X3dc0e7/Xbbc 18.199004423460387 976.5625
uid://A002/X590461/X1b27 24.300867888150577 976.5625
uid://A002/X4afc39/Xac8 9.678765109200356 488.28125
uid://A002/X3e3a61/Xce 68.54807559438254 976.5625
uid://A002/X41e287/Xb16 18.32460732983627 31250.0
uid://A002/X388522/X5c5 68.40962049289723 61.03515625
uid://A002/X552607/X607 21.228315307503138 976.5625
uid://A002/X54d35d/X761 18.529411764705884 976.5625
uid://A002/X4b1170/X57 18.629447200286393 488.28125
uid://A002/X569422/X742 9.656758166330631 976.5625
uid://A002/X535168/Xb6c 20.043797606703755 976.5625
uid://A002/X579ce0/X23b 63.96922491361882 976.5625
uid://A002/X35e007/Xfd 58.724284822102696 976.5625
uid://A002/X3fbe56/X607 58.32921518275137 488.28125
uid://A002/X3b55d6/Xa0 61.52184538193104 976.5625
uid://A002/X518d2b/X170 24.087800721842523 31250.0
uid://A002/X3fa880/X4f 21.23088837225776 976.5625
uid://A002/X5b1929/X57d 67.82551973708972 31250.0
uid://A002/X43036c/X20a 27.124800821080637 31250.0
uid://A002/X4b483b/X1ce 18.49073972227651 976.5625
uid://A002/X32f7a3/X34 18.755845292678043 976.5625
uid://A002/X31d189/Xa50 18.26115671529038 31250.0
uid://A002/X388522/Xa5 58.724284822102696 976.5625
uid://A002/X3daf0c/X34c 27.941834786455587 61.03515625
uid://A002/X3b3400/X90f 58.32921518275137 488.28125
uid://A002/X305ca0/X33b 18.703180400868785 488.28125
uid://A002/X305ca0/X637 18.628472502511737 488.28125
uid://A002/X35be16/Xeb 58.724284822102696 976.5625
uid://A002/X3b3400/Xaf3 58.32921518275137 488.28125
uid://A002/X460fc9/X2ef 18.551603847991338 31250.0
uid://A002/X47d651/X15d 66.91861169908184 976.5625
uid://A002/X47ed8e/X6c 66.91861169908184 976.5625
uid://A002/X435875/X204 27.22558340534398 976.5625
uid://A002/X45f1dd/Xd13 28.317393141224926 976.5625
uid://A002/X31d189/X44e 18.26115671529038 31250.0
uid://A002/X30a93d/X2f9 28.159885887202737 122.0703125
uid://A002/X2c75ca/X5ec 28.159885887202737 122.0703125
uid://A002/X31d189/X75 18.26115671529038 31250.0
uid://A002/X2c75ca/Xaf 64.70713601594055 61.03515625
uid://A002/X2f146f/X6f 18.26115671529038 31250.0
uid://A002/X32041d/Xb5 27.391304347826086 31250.0
uid://A002/X305ca0/X8b 18.314242310362015 31250.0
uid://A002/X3fa880/X8c2 18.32460732984027 31250.0
